Flight_ID,Airline,Source,Destination,Date_of_Journey,Dep_Time,Duration,Total_Stops,Class,Days_Left,Price,Distance_km
1,AIR INDIA,Banglore,Bangalore,07/14/2025,15:30,2h 21m,1 stop,BUSINESS,34.0,22643.09,1030
2,indigo,Hyderabad,Mumbai,22/10/2025,10:15,3h 5m,Non Stop,BUSINESS,52.0,12288.63,620
3,AIR INDIA,MUMBAI,Hyderabad,14/09/2025,14:45,2h 1m,1 Stop,Eco,32.0,4971.95,620
4,SpiceJet,Mumbai,HYDERABAD,10-Feb-2025,8:30,3h 17m,,Eco,32.0,4556.92,620
5,indigo,delhi,Chennai,2025-11-14,14:15,4h 15m,,economy,58.0,11491.19,1760
6,AIR INDIA,Chenai,Hyderabad,14/08/2025,13:00,3h 47m,2+ stops,Eco,24.0,5198.99,515
7,GoAir,Banglore,HYDERABAD,01/25/2025,17:00,0h 59m,Non Stop,BUSINESS,4.0,9692.33,500
8,Air India,Delhi,Bangalore,06/29/2025,23:15,1h 57m,2+ stops,Biz,31.0,40307.73,1740
9,Spice Jet,Banglore,Cochin,15-Feb-2025,6:00,4h 37m,2+ stops,Economy,59.0,3409.97,360
10,AIR INDIA,delhi,HYDERABAD,26-Apr-2025,6:15,1h 44m,2+ stops,,31.0,11118.99,1260
11,Air India,Kolkata,HYDERABAD,12/29/2025,11:15,2h 6m,Non Stop,Economy,44.0,7321.16,1190
12,IndiGo,Mumbai,Kolkata,08/08/2025,3:30,1h 46m,non-stop,Biz,6.0,33758.76,1650
13,Go Air,Hyderabad,Delhi,14/08/2025,16:45,0h 57m,non-stop,Business,47.0,19852.39,1260
14,AirAsia,Chennai,Hyderabad,2025-02-18,10:15,1h 47m,Non Stop,BUSINESS,3.0,9621.62,515
15,Air India,Mumbai,Hyderabad,04/10/2025,13:00,2h 28m,2 stops,BUSINESS,39.0,11737.61,620
16,Go Air,Delhi,Mumbai,2025-01-30,12:45,4h 15m,1 stop,Biz,40.0,21799.67,1150
17,AIR INDIA,Banglore,Chennai,25-Jul-2025,3:15,3h 10m,2+ stops,Biz,18.0,7231.49,290
18,GoAir,Chenai,Mumbai,2025-09-03,16:00,5h 43m,1 Stop,,1.0,7885.34,1030
19,GoAir,Bangalore,Chennai,19/11/2025,3:00,1h 56m,1 Stop,Economy,42.0,2012.41,290
20,Spice Jet,Kolkata,cochin,19-Jul-2025,10:15,1h 39m,2 stops,,47.0,12750.2,1900
21,Vistara,MUMBAI,Hyderabad,2025-02-27,15:00,1h 38m,1 Stop,Economy,57.0,4693.74,620
22,Go Air,Mumbai,Bangalore,2025-01-26,15:15,1h 19m,1 Stop,Eco,55.0,5846.95,840
23,Air India,Bangalore,Kolkata,01/03/2025,23:15,5h 28m,2+ stops,Eco,19.0,14806.15,1560
24,Spice Jet,Chennai,Hyderabad,2025-07-03,18:00,1h 5m,2 stops,Eco,54.0,3799.26,515
25,Go Air,Chenai,Delhi,14/03/2025,12:00,2h 41m,2 stops,economy,22.0,12196.22,1760
26,SpiceJet,Delhi,Kolkata,06/07/2025,22:00,1h 54m,Non Stop,Business,48.0,26271.16,1300
27,IndiGo,Hyderabad,HYDERABAD,17-Apr-2025,6:30,2h 1m,2+ stops,Eco,42.0,7116.77,1030
28,indigo,Banglore,Cochin,26-Dec-2025,13:00,5h 15m,non-stop,economy,7.0,2975.79,360
29,AIR INDIA,Chennai,Hyderabad,05/05/2025,23:30,3h 35m,2+ stops,Business,50.0,12238.23,515
30,Go Air,Banglore,Kolkata,16-Feb-2025,11:30,5h 27m,1 Stop,Economy,13.0,12650.15,1560
31,Air India,Chenai,Chennai,03/03/2025,5:15,1h 30m,,Economy,34.0,7831.04,1030
32,Spice Jet,delhi,cochin,11/01/2025,8:30,1h 4m,Non Stop,Economy,28.0,13340.32,2100
33,indigo,Hyderabad,Kolkata,30-Jun-2025,5:00,0h 46m,,Biz,,22600.5,1190
34,AirAsia,Kolkata,Bangalore,16-Sep-2025,2:45,2h 38m,1 stop,Biz,60.0,28447.59,1560
35,Vistara,delhi,Bangalore,17-Mar-2025,10:45,3h 22m,,Business,7.0,45524.61,1740
36,IndiGo,Chennai,Kolkata,19/08/2025,16:30,,Non Stop,Eco,1.0,10675.39,1360
37,Air India,Chennai,Delhi,04/12/2025,10:30,4h 1m,1 stop,Biz,43.0,36769.86,1760
38,AIR INDIA,Delhi,Bangalore,13-Oct-2025,1:15,0h 49m,Non Stop,Economy,52.0,11388.52,1740
39,SpiceJet,Kolkata,Hyderabad,08/15/2025,16:15,5h 58m,1 Stop,BUSINESS,1.0,23834.27,1190
40,Air India,MUMBAI,HYDERABAD,11/11/2025,5:15,1h 19m,Non Stop,BUSINESS,54.0,12725.47,620
41,Go Air,Delhi,Hyderabad,21/11/2025,0:45,1h 5m,non-stop,Business,15.0,22734.94,1260
42,Vistara,Chennai,Kolkata,2025-09-03,5:15,5h 27m,,Biz,38.0,29094.74,1360
43,Go Air,Banglore,Delhi,11-Mar-2025,10:45,1h 1m,Non Stop,Business,30.0,31297.7,1740
44,Vistara,Delhi,Chennai,06/08/2025,17:45,1h 30m,2+ stops,Biz,3.0,46170.51,1760
45,AIR INDIA,MUMBAI,Kolkata,27/09/2025,15:45,2h 47m,Non Stop,Economy,27.0,11878.3,1650
46,Vistara,Banglore,Hyderabad,2025-07-15,4:15,5h 1m,Non Stop,Economy,52.0,4282.22,500
47,Air India,delhi,Bangalore,15-Nov-2025,16:00,2h 7m,,BUSINESS,8.0,41522.01,1740
48,Spice Jet,Banglore,Chennai,02/28/2025,7:15,1h 37m,1 stop,Economy,33.0,2246.77,290
49,Go Air,Banglore,Cochin,13/12/2025,20:45,1h 49m,2+ stops,economy,40.0,2885.12,360
50,Spice Jet,Bangalore,Chennai,16-Dec-2025,4:00,1h 49m,1 stop,Biz,12.0,5986.7,290
51,AirAsia,Delhi,Hyderabad,11/05/2025,17:15,1h 42m,non-stop,Eco,37.0,7748.61,1260
52,indigo,Hyderabad,Kolkata,08/05/2025,14:15,0h 43m,non-stop,Economy,23.0,8345.27,1190
53,SpiceJet,Banglore,cochin,2025-04-03,17:30,2h 49m,Non Stop,Biz,50.0,6248.33,360
54,GoAir,Delhi,Kolkata,05/06/2025,3:15,6h 43m,non-stop,Eco,29.0,9332.74,1300
55,AIR INDIA,Bangalore,Cochin,2025-01-28,17:15,4h 24m,1 Stop,,19.0,3226.93,360
56,GoAir,delhi,cochin,02/06/2025,15:15,2h 47m,2+ stops,Eco,53.0,14179.65,2100
57,GoAir,Kolkata,HYDERABAD,27/08/2025,12:00,1h 25m,non-stop,economy,22.0,8343.0,1190
58,Go Air,Kolkata,cochin,16-Mar-2025,22:30,1h 33m,non-stop,BUSINESS,46.0,35418.51,1900
59,IndiGo,Kolkata,Chennai,07-Nov-2025,9:00,3h 34m,non-stop,Biz,60.0,25126.15,1360
60,Spice Jet,Chenai,Kolkata,04/07/2025,17:45,4h 35m,1 stop,Business,18.0,27440.54,1360
61,GoAir,Delhi,Chennai,2025-11-28,15:15,2h 22m,2+ stops,economy,49.0,12683.21,1760
62,Air India,Chenai,cochin,07/19/2025,23:15,2h 35m,non-stop,Eco,20.0,4302.18,500
63,GoAir,Chennai,Delhi,18-Jan-2025,6:45,2h 4m,non-stop,Economy,48.0,10239.31,1760
64,indigo,MUMBAI,Kolkata,26/04/2025,4:00,1h 14m,2 stops,Business,35.0,33507.35,1650
65,SpiceJet,Delhi,cochin,27-Mar-2025,16:45,4h 54m,non-stop,Biz,56.0,32447.9,2100
66,Vistara,MUMBAI,Cochin,04/03/2025,23:00,2h 7m,Non Stop,Economy,32.0,6790.84,860
67,Spice Jet,Banglore,Kolkata,2025-02-04,6:15,1h 28m,Non Stop,Economy,15.0,10445.83,1560
68,SpiceJet,Hyderabad,Cochin,22-Nov-2025,4:30,1h 53m,2 stops,Economy,44.0,5341.77,700
69,AIR INDIA,Kolkata,Hyderabad,03-Jun-2025,13:45,3h 45m,non-stop,Economy,11.0,9659.45,1190
70,GoAir,Banglore,Hyderabad,24/10/2025,1:30,2h 0m,2 stops,BUSINESS,24.0,11407.65,500
71,Go Air,Kolkata,HYDERABAD,2025-06-22,10:00,1h 47m,2 stops,Economy,1.0,8578.31,1190
72,AirAsia,MUMBAI,Chennai,05/19/2025,16:15,1h 57m,,Economy,22.0,7396.72,1030
73,Air India,Chenai,Bangalore,29/03/2025,19:45,1h 29m,Non Stop,Biz,30.0,6344.06,290
74,IndiGo,Kolkata,cochin,06-Jan-2025,6:15,1h 1m,1 stop,Business,57.0,38125.12,1900
75,indigo,Hyderabad,cochin,2025-05-10,14:30,2h 41m,2 stops,Eco,34.0,4973.06,700
76,SpiceJet,Banglore,Hyderabad,11/18/2025,23:30,2h 21m,,economy,51.0,3593.66,500
77,Go Air,Chennai,Kolkata,30/08/2025,13:00,4h 32m,1 Stop,Biz,51.0,22124.05,1360
78,SpiceJet,MUMBAI,Mumbai,24/06/2025,15:00,2h 29m,non-stop,Economy,9.0,7149.8,1030
79,IndiGo,Hyderabad,cochin,29/12/2025,1:45,2h 30m,1 stop,Eco,3.0,5786.98,700
80,SpiceJet,Chenai,cochin,05/20/2025,14:15,0h 41m,non-stop,BUSINESS,45.0,8980.0,500
81,AIR INDIA,Bangalore,Hyderabad,26-Apr-2025,4:15,2h 58m,1 Stop,Biz,1.0,11708.2,500
82,AirAsia,Hyderabad,Chennai,2025-03-06,15:15,0h 46m,2 stops,Economy,40.0,3736.18,515
83,indigo,Mumbai,Hyderabad,11/21/2025,17:45,2h 38m,2 stops,Biz,51.0,12922.62,620
84,Spice Jet,Banglore,Bangalore,01-Oct-2025,11:45,4h 49m,2 stops,Economy,50.0,7083.99,1030
85,Spice Jet,Chenai,Bangalore,22-Oct-2025,12:00,4h 34m,1 Stop,Eco,37.0,2537.44,290
86,AirAsia,Bangalore,Kolkata,03/30/2025,21:45,6h 1m,non-stop,BUSINESS,46.0,31443.31,1560
87,Go Air,Chennai,cochin,24-Jun-2025,19:30,5h 21m,2+ stops,economy,,4497.79,500
88,AirAsia,Chenai,cochin,01-Sep-2025,22:15,0h 56m,2+ stops,Economy,20.0,4054.09,500
89,Go Air,Chennai,Bangalore,11/11/2025,9:15,5h 37m,1 stop,BUSINESS,21.0,6614.05,290
90,indigo,Hyderabad,Cochin,2025-02-15,6:30,2h 16m,Non Stop,Business,34.0,14200.75,700
91,,Hyderabad,HYDERABAD,05-Sep-2025,20:30,1h 7m,2+ stops,Eco,56.0,6398.19,1030
92,AirAsia,Banglore,Cochin,07/05/2025,10:15,1h 33m,1 Stop,economy,48.0,2415.05,360
93,AirAsia,delhi,Mumbai,2025-08-10,1:15,2h 18m,2 stops,Business,47.0,20956.94,1150
94,AIR INDIA,Delhi,Cochin,07/14/2025,12:00,1h 24m,2+ stops,economy,24.0,15542.59,2100
95,Air India,Banglore,cochin,2025-04-29,1:00,,1 stop,Biz,32.0,7750.27,360
96,Vistara,Mumbai,Hyderabad,2025-05-12,22:00,1h 4m,1 Stop,BUSINESS,54.0,12042.03,620
97,AIR INDIA,delhi,Chennai,14-Jul-2025,18:00,3h 12m,Non Stop,economy,2.0,13918.66,1760
98,AirAsia,delhi,Cochin,2025-03-14,21:15,2h 35m,2+ stops,BUSINESS,57.0,41405.03,2100
99,GoAir,Banglore,Chennai,04/29/2025,16:15,0h 45m,non-stop,economy,36.0,2213.55,290
100,SpiceJet,Banglore,Bangalore,27/10/2025,3:15,6h 20m,non-stop,economy,3.0,7910.53,1030
101,AIR INDIA,Chennai,Mumbai,18-Jul-2025,17:30,8h 1m,non-stop,BUSINESS,27.0,21670.98,1030
102,GoAir,Chenai,Kolkata,2025-08-11,0:30,2h 53m,Non Stop,Eco,18.0,8025.63,1360
103,Go Air,Bangalore,Cochin,02/21/2025,1:45,2h 17m,2 stops,Eco,54.0,2422.55,360
104,Air India,Chennai,Cochin,12/17/2025,13:45,2h 6m,non-stop,economy,15.0,3824.69,500
105,SpiceJet,Mumbai,Cochin,06/08/2025,1:30,4h 7m,2 stops,Economy,9.0,6441.78,860
106,AIR INDIA,Hyderabad,cochin,07-Dec-2025,17:45,3h 2m,,Eco,26.0,5714.81,700
107,indigo,Mumbai,HYDERABAD,20-Aug-2025,13:30,2h 50m,Non Stop,BUSINESS,55.0,11134.47,620
108,IndiGo,Banglore,Hyderabad,03/30/2025,17:30,2h 49m,Non Stop,Biz,19.0,10850.28,500
109,GoAir,Kolkata,Chennai,08-Feb-2025,1:45,2h 52m,1 stop,Business,39.0,25461.36,1360
110,Air India,Chennai,cochin,19/09/2025,2:45,1h 9m,,BUSINESS,40.0,11150.9,500
111,Spice Jet,delhi,Chennai,02/06/2025,12:45,3h 36m,2 stops,Biz,59.0,35792.5,1760
112,Go Air,MUMBAI,Mumbai,2025-03-08,21:45,1h 40m,2+ stops,BUSINESS,31.0,20159.6,1030
113,Go Air,Chennai,Cochin,27/09/2025,21:15,,non-stop,Eco,51.0,3375.3,500
114,Spice Jet,Banglore,Cochin,2025-01-04,0:00,2h 8m,2+ stops,Business,60.0,7446.31,360
115,IndiGo,Bangalore,HYDERABAD,11/02/2025,3:00,6h 27m,Non Stop,economy,3.0,4279.62,500
116,Go Air,Banglore,Delhi,06/10/2025,14:15,0h 52m,Non Stop,Economy,33.0,11423.3,1740
117,Air India,Banglore,Mumbai,2025-03-13,7:15,4h 46m,2+ stops,Eco,25.0,7926.32,840
118,GoAir,Kolkata,Bangalore,13/06/2025,2:30,6h 25m,Non Stop,economy,53.0,9185.55,1560
119,SpiceJet,Hyderabad,Bangalore,13/12/2025,2:30,2h 43m,non-stop,Business,,9729.98,500
120,Vistara,Chennai,Delhi,09-Apr-2025,19:00,2h 29m,Non Stop,Economy,48.0,12965.11,1760
121,GoAir,Bangalore,Cochin,26-Oct-2025,7:45,2h 42m,,Biz,30.0,7259.97,360
122,SpiceJet,MUMBAI,Bangalore,20-Nov-2025,8:15,2h 44m,2+ stops,Economy,9.0,7023.51,840
123,Spice Jet,Chennai,Kolkata,2025-10-24,12:45,2h 32m,2+ stops,Biz,38.0,29122.35,1360
124,Air India,Mumbai,cochin,2025-03-01,4:00,1h 57m,1 Stop,economy,44.0,7272.54,860
125,Spice Jet,Bangalore,Delhi,2025-09-29,14:30,2h 15m,,Eco,17.0,11059.23,1740
126,Air India,Delhi,Chennai,19/04/2025,12:00,5h 13m,2+ stops,BUSINESS,25.0,43333.16,1760
127,Air India,MUMBAI,Chennai,08-Aug-2025,6:00,4h 27m,Non Stop,Biz,55.0,19852.97,1030
128,SpiceJet,Hyderabad,HYDERABAD,2025-12-10,22:15,5h 34m,1 stop,economy,47.0,7408.09,1030
129,AirAsia,delhi,Mumbai,07/06/2025,9:45,1h 49m,non-stop,BUSINESS,17.0,19387.0,1150
130,AirAsia,Bangalore,cochin,10-Aug-2025,5:30,1h 23m,2 stops,BUSINESS,56.0,6973.11,360
131,Go Air,Banglore,Bangalore,30-Oct-2025,8:15,2h 54m,2 stops,BUSINESS,40.0,19682.84,1030
132,Vistara,delhi,Mumbai,16/10/2025,14:00,4h 54m,2+ stops,economy,33.0,9747.11,1150
133,Spice Jet,MUMBAI,cochin,2025-06-05,9:15,0h 52m,,Business,17.0,16165.38,860
134,Spice Jet,Bangalore,Delhi,24-Jan-2025,12:45,3h 43m,2 stops,Biz,51.0,32969.12,1740
135,Vistara,delhi,HYDERABAD,06/26/2025,21:30,3h 25m,,Business,13.0,32877.08,1260
136,GoAir,Bangalore,cochin,08/05/2025,2:15,5h 27m,Non Stop,Biz,29.0,7339.75,360
137,IndiGo,delhi,Chennai,02/07/2025,10:45,1h 55m,2 stops,Business,6.0,42099.2,1760
138,Air India,Mumbai,Cochin,03/12/2025,6:00,2h 1m,,Biz,,21445.53,860
139,Go Air,Chennai,Kolkata,2025-11-06,15:15,4h 37m,Non Stop,BUSINESS,31.0,25838.61,1360
140,AirAsia,MUMBAI,Delhi,25/10/2025,16:15,4h 45m,2 stops,BUSINESS,53.0,20715.5,1150
141,AIR INDIA,Mumbai,HYDERABAD,24-May-2025,5:15,2h 43m,2+ stops,Biz,53.0,14891.3,620
142,Vistara,Hyderabad,Kolkata,09/28/2025,19:30,1h 31m,1 stop,Business,8.0,28431.04,1190
143,IndiGo,delhi,cochin,2025-08-20,19:30,2h 38m,2+ stops,BUSINESS,17.0,47466.56,2100
144,IndiGo,Mumbai,Bangalore,20/09/2025,0:15,4h 32m,1 Stop,BUSINESS,21.0,16658.92,840
145,AirAsia,Mumbai,Kolkata,09-Aug-2025,19:15,2h 9m,non-stop,Business,18.0,32263.64,1650
146,Air India,Hyderabad,Bangalore,2025-06-25,14:00,4h 56m,non-stop,Biz,52.0,10423.64,500
147,Go Air,delhi,Cochin,2025-04-27,8:45,1h 11m,,BUSINESS,34.0,40418.16,2100
148,Air India,Kolkata,Bangalore,16-Jun-2025,21:45,2h 30m,non-stop,BUSINESS,42.0,30444.73,1560
149,Go Air,Chennai,Hyderabad,02/08/2025,20:15,5h 21m,1 stop,Business,45.0,10435.46,515
150,SpiceJet,delhi,Cochin,06/06/2025,12:45,4h 10m,1 Stop,Biz,38.0,38792.73,2100
151,AIR INDIA,Mumbai,Bangalore,2025-02-02,22:30,2h 9m,non-stop,Business,7.0,19228.12,840
